name,sale_ok,purchase_ok,can_be_expensed,list_price,standard_price,barcode,detailed_type
Pest Control Services - AMC,True,True,False,1,0,,Consumable
Pest Control Services - AMC,True,True,False,1,0,,Consumable
Polo Shirt - XXL,True,True,False,1,0,,Consumable
18,True,True,True,1,0,,Consumable
3M Respirator - Safety Mask,False,True,False,0,0,,Consumable
ACTELLIC 50CE,True,True,False,1,0,28444942958,Storable Product
Accrued - Salaries,True,True,True,1,0,,Service
Accrued - VAT,True,True,True,1,0,,Service
Advion Cockroach Gel,True,True,False,0,44,28444942850,Storable Product
Agita 10WG,True,True,False,1,205,28444942917,Storable Product
Air Ticket,False,True,True,0,0,,Service
Alfasect SC,True,True,False,0,120,28444942888,Storable Product
Aluminum Folding Step Ladder - 3m,False,True,False,0,0,,Consumable
Aluminum Folding Step Ladder - 4m,False,True,False,0,0,,Consumable
Anosan,True,True,False,1,600,28444942914,Storable Product
Ants Control Service,False,False,False,0,0,,Service
Ants Control Service - Gel Only,True,False,False,0,0,,Service
Ants and Flies Control,False,False,False,0,0,,Service
"Ants, Cockroach, Spider",True,True,False,1,0,,Consumable
"Ants, Mosquitoes & Flies ",True,True,False,1,0,,Consumable
Arilon,True,True,False,0,20,28444942902,Storable Product
Attrathor 250 mL,True,True,False,0,250,28444942896,Storable Product
Attrathor Liquid Pro Sprayer,False,True,False,0,0,,Consumable
Audit Fees,False,True,True,0,0,,Service
B&G 1150 Bulb Duster-R,False,True,False,0,0,,Consumable
B&G Fogger 220V,False,True,False,0,0,,Consumable
B&G Gasket Viton 4190,False,True,False,0,0,,Consumable
B&G Multi-Dose Gun Delux,False,True,False,0,0,,Consumable
B&G N-150 5Litre Spr,False,True,False,0,0,,Consumable
B&G PV-266 Valve,False,True,False,0,0,,Consumable
B&G Polypropylene Cup,False,True,False,0,0,,Consumable
B&G Pump Gasket - Part P-268,False,True,False,0,0,,Consumable
B&G Pump Pressure Gauge,False,True,False,0,0,,Consumable
B&G Seal Tank Gasket,False,True,False,0,0,,Consumable
B&G Versafoamer,False,True,False,0,0,,Consumable
Bad Debts,False,True,True,0,0,,Service
Bait Station - COM 903 RBS,True,True,False,0,9,28444942851,Storable Product
Bank Charges,False,False,True,0,0,,Service
Bed Bug Control Service,True,False,False,0,0,,Service
Bed Bugs & Roaches Control,True,False,False,0,0,,Service
Bedbugs,True,True,False,1,0,,Consumable
Beehive Jacket,False,True,False,0,0,,Consumable
Birds Control,True,False,False,0,0,,Service
Birds Spike,True,True,False,0,0,28444942895,Storable Product
Black Pearl Global Trading,True,True,True,1,0,,Service
Booklice Control Service,True,False,False,0,0,,Service
Bugs Control,False,False,False,0,0,,Service
ByreGreen 5.0,True,True,False,0,100,28444942893,Storable Product
CHEMICAL SPRAY GUN 60cm GUN F06,True,True,False,1,75.36,,Storable Product
Cap With Logo - Black,False,True,False,0,0,,Consumable
Cap with Logo - Orange,False,True,False,0,0,,Consumable
Car,True,True,True,1,0,,Service
Car Parking,False,False,True,0,0,,Service
Car Wash,False,False,True,0,0,,Service
Chemical Resistant Glove,False,True,False,0,0,,Consumable
Cockroach & Ants Control,True,False,False,0,0,,Service
Cockroach Control Service,True,False,False,0,0,,Service
Cockroach Control Service - Gel Only,True,False,False,0,0,,Service
Company Stickers,False,True,False,1,0,,Consumable
Computer Hardware & Software,False,False,True,0,0,,Service
Cover All,True,True,False,0,0,,Storable Product
Cymina 10,True,True,False,1,85,28444942962,Storable Product
DEWA,False,False,True,0,0,,Service
DEWA - Fine/Penalty,False,False,True,0,0,,Service
DM Identity Card,False,False,True,1,0,,Service
Deltacid Speedy,True,True,False,1,0,28444942960,Storable Product
Demand 2.5 CS,True,True,False,0,140,28444942918,Storable Product
Disinfection Control,True,True,False,1,0,,Consumable
Disinfection Control,True,True,False,1,0,,Consumable
Disinfection Control,True,True,False,1,0,,Consumable
Disinfection Control,True,True,False,1,0,,Consumable
Disinfection Control,True,True,False,1,0,,Consumable
Disinfection Control ,True,True,False,1,0,,Consumable
Disinfection Service,True,False,False,0,0,,Service
Disinfection control ,True,True,False,1,0,,Consumable
Disposable Dust Mask,True,True,False,0,4.5,28444942853,Storable Product
Disposable Shoe Cover,True,True,False,0,5.61,28444942854,Storable Product
Distributed Profits,False,False,True,0,0,,Service
Document Collection/Drop,False,False,False,0,0,,Service
Drain Fly Control,False,False,False,0,0,,Service
Draker 10.2,True,True,False,0,135,28444942845,Storable Product
Ecotrol IC3,True,True,False,0,120,28444942856,Storable Product
Email Hosting,False,False,True,0,0,,Service
Employee Loan,True,True,True,1,0,,Service
Employee Visa Cancellation,True,True,True,1,0,,Service
Employee Visa Expenses,True,True,True,1,0,,Service
Employee Visa Renewal,True,True,True,1,0,,Service
Enviro Max,True,True,False,0,190,28444942907,Storable Product
Escacide,True,True,False,0,0,28444942882,Storable Product
Exit 100 EW,True,True,False,0,0,28444942921,Storable Product
Final Blocks,True,True,False,0,200,28444942898,Storable Product
Final Pellets,True,True,False,0,140,28444942899,Storable Product
Flie,True,True,False,1,0,,Consumable
Flies & Roaches Control,True,False,False,0,0,,Service
Flies Control,False,False,False,0,0,,Service
Fly Trap Attractant,True,True,False,0,45,28444942857,Storable Product
Flytrin 6.14 ME,True,True,False,0,105,,Storable Product
Fogging Treatment,False,False,False,0,0,,Service
Food For Employees,False,False,True,1,0,,Service
Fortune EC 500,True,True,False,0,90,28444942858,Storable Product
Fruit Fly Traps,True,True,False,0,0,28444942884,Storable Product
Fuel/Petrol,False,True,True,1,0,,Service
Fuel/Petrol - Machine,False,False,True,1,0,,Service
GPS Tracker,False,True,False,1,0,,Consumable
GUN SPRAY ITALY 30cm GUN F03,True,True,False,1,65.3,,Storable Product
Garban,True,True,False,0,110,28444942859,Storable Product
Gas Cartridge,True,True,False,0,10.16,28444942881,Storable Product
Gene,True,True,False,1,0,,Consumable
General Pest & Bedbugs,True,True,False,1,0,,Consumable
General Pest & Bedbugs Control,True,True,False,1,0,,Consumable
General Pest & Bedbugs control,True,True,False,1,0,,Consumable
General Pest & Rodent Control Service,False,False,False,0,0,,Service
General Pest Control Service,False,False,False,0,0,,Service
Gloria Sprayer 5L - Steel,True,True,False,0,600,,Consumable
Gloves Chemical Red,True,True,False,1,0,28444942912,Storable Product
Google Adwords,False,False,True,1,0,,Service
Green Drain GD104,True,True,False,1,0,,Storable Product
Gun 80 CM - Made in Italy,True,True,False,0,100,,Consumable
Harpun Pyroxiffen,True,True,False,1,0,28444942950,Storable Product
Health /Medical Insurance,True,True,True,1,0,,Service
Honda Sprayer RP-35-6HP,True,True,False,0,0,,Consumable
HoyHoy,True,True,False,1,12.5,28444942955,Storable Product
Hymenopthor Ultra Granular Bait,True,True,False,0,130,28444942900,Storable Product
ICON 25 EC,True,True,False,0,105,28444942905,Storable Product
InTice 10 Perimeter Bait,True,True,False,0,125,28444942860,Storable Product
InTice Thick Liquid Ant Bait,True,True,False,0,75,28444942861,Storable Product
InVict Xpress Granular Bait,True,True,False,0,50,28444942886,Storable Product
Injector,True,True,False,0,700,,Consumable
K-Othrine SC 25,True,True,False,0,90,28444942862,Storable Product
Lambdastar Ultra Capsulate,True,True,False,1,220,28444942954,Storable Product
Landscape Rat Bait Station,True,True,False,1,0,28444942951,Storable Product
Leave Salary,False,False,True,0,0,,Service
Liability Insurance,False,True,False,1,0,,Consumable
Lizards Control Service,False,False,False,0,0,,Service
MAXFORCE Activ,True,True,False,1,48,28444942957,Storable Product
Makita Drill,False,True,False,0,3000,,Consumable
Marketing - Advertising,False,True,False,0,0,,Consumable
Mastercid Mirco,True,True,False,0,108,28444942865,Storable Product
Medical Charges,False,False,True,0,0,,Service
Meeting,True,True,False,1,0,,Consumable
Meeting,True,True,False,1,0,,Consumable
Meeting,True,True,False,1,0,,Consumable
Meeting ,True,True,False,1,0,,Consumable
Midos Energy Forte SC,True,True,False,1,0,28444942965,Storable Product
Mini Thermal Fogger,False,True,False,0,600,,Consumable
Mobile App,False,False,True,0,0,,Service
Mobile Packages (DU),False,False,True,0,0,,Service
Mosquito Control,False,False,False,0,0,,Service
Move-in Pest Control Service,False,False,False,0,0,,Service
Nitrite Gloves Powder Free - Large,True,True,False,0,19,28444942866,Storable Product
Nitrite Gloves Powder Free - Large ,True,True,False,1,0,,Consumable
Odoo System,False,False,True,0,0,,Service
Office Cleaning,False,True,True,1,0,,Service
Office Supplies/Expenses,False,False,True,0,0,,Service
Online Marketing,False,False,True,0,0,,Service
Organic Pest Control Service,False,False,False,0,0,,Service
Other - Advertising Expenses,False,False,True,0,0,,Service
Outdoor Service,False,False,False,0,0,,Service
PRO Charges,False,True,True,1,0,,Service
Pantry Pest Control,False,False,False,0,0,,Service
PayLink charges,False,False,True,0,0,,Service
Payment Collection,False,False,False,0,0,,Service
Permit - Gate Pass,False,False,True,1,0,,Service
Pest Control Services - AMC,True,False,False,0,0,,Service
Pest Control Services - AMC,True,True,False,1,0,,Consumable
Polo Shirt - Large,True,True,False,0,0,,Consumable
Polo Shirt - Medium,True,True,False,0,0,,Consumable
Polo Shirt - Small,True,True,False,0,0,,Consumable
Polo Shirt - XL,True,True,False,0,0,,Consumable
Polyester Cooler Bag,True,True,False,0,64,28444942889,Storable Product
Post,True,True,False,1,0,,Consumable
Post Construction Termite Control,False,False,False,0,0,,Service
Pre Construction Termite Control,False,False,False,0,0,,Service
Pre Paid Vehicle Fines,False,False,True,0,1,,Service
PrePaid Health/Medical Insurance,True,True,True,1,0,,Service
Premise 200 SC,True,True,False,0,280,28444942867,Storable Product
Prepaid Fuel/Petrol VIP Tag,False,True,True,1,0,,Service
Prepaid Office Rent,False,False,True,0,0,,Service
Prepaid Sponsorship Fees,True,True,True,1,0,,Service
Prepaid Trade License Fees,True,True,True,1,0,,Service
